1619607333.716775, 	 reno wscale:8,9 rto:228 rtt:27.614/0.816 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:25 ssthresh:17 bytes_sent:603816 bytes_retrans:56472 bytes_acked:512593 segs_out:419 segs_in:201 data_segs_out:417 send 10.5Mbps lastrcv:460 pacing_rate 12.6Mbps delivery_rate 9.6Mbps delivered:355 busy:460ms unacked:24 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:483632 minrtt:20.688
1619607333.731146, 	 reno wscale:8,9 rto:228 rtt:27.832/0.76 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:25 ssthresh:17 bytes_sent:618296 bytes_retrans:56472 bytes_acked:527073 segs_out:429 segs_in:206 data_segs_out:427 send 10.4Mbps lastrcv:476 pacing_rate 12.5Mbps delivery_rate 9.9Mbps delivered:365 busy:476ms unacked:24 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:534312 minrtt:20.688
1619607333.744354, 	 reno wscale:8,9 rto:232 rtt:28.322/0.744 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:25 ssthresh:17 bytes_sent:634224 bytes_retrans:56472 bytes_acked:541553 segs_out:440 segs_in:211 data_segs_out:438 send 10.2Mbps lastrcv:488 pacing_rate 12.3Mbps delivery_rate 9.9Mbps delivered:375 busy:488ms unacked:25 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:518384 minrtt:20.688
1619607333.758425, 	 reno wscale:8,9 rto:232 rtt:28.648/0.864 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 ssthresh:17 bytes_sent:651600 bytes_retrans:56472 bytes_acked:558929 segs_out:452 segs_in:217 data_segs_out:450 send 10.5Mbps lastsnd:4 lastrcv:504 lastack:4 pacing_rate 12.6Mbps delivery_rate 9.6Mbps delivered:387 busy:504ms unacked:25 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:501008 minrtt:20.688
1619607333.772703, 	 reno wscale:8,9 rto:232 rtt:29.195/1.117 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 ssthresh:17 bytes_sent:671872 bytes_retrans:56472 bytes_acked:577753 segs_out:466 segs_in:224 data_segs_out:464 send 10.3Mbps lastrcv:516 pacing_rate 12.4Mbps delivery_rate 9.8Mbps delivered:400 busy:516ms unacked:26 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:480736 minrtt:20.688
1619607333.785905, 	 reno wscale:8,9 rto:232 rtt:29.553/0.871 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:17 bytes_sent:686352 bytes_retrans:56472 bytes_acked:592233 segs_out:476 segs_in:229 data_segs_out:474 send 10.6Mbps lastsnd:4 lastrcv:532 lastack:4 pacing_rate 12.7Mbps delivery_rate 9.5Mbps delivered:410 busy:532ms unacked:26 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:466256 minrtt:20.688
1619607333.799869, 	 reno wscale:8,9 rto:232 rtt:29.758/0.691 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:17 bytes_sent:708072 bytes_retrans:56472 bytes_acked:612505 segs_out:491 segs_in:236 data_segs_out:489 send 10.5Mbps lastrcv:544 pacing_rate 12.6Mbps delivery_rate 9.5Mbps delivered:424 busy:544ms unacked:27 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:509696 minrtt:20.688
1619607333.814001, 	 reno wscale:8,9 rto:232 rtt:30.815/1.349 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:17 bytes_sent:722552 bytes_retrans:56472 bytes_acked:626985 segs_out:501 segs_in:241 data_segs_out:499 send 10.5Mbps lastrcv:560 pacing_rate 12.6Mbps delivery_rate 9.3Mbps delivered:434 busy:560ms unacked:27 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:495216 minrtt:20.688
1619607333.829004, 	 reno wscale:8,9 rto:232 rtt:31.264/0.778 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:17 bytes_sent:742824 bytes_retrans:56472 bytes_acked:645809 segs_out:515 segs_in:248 data_segs_out:513 send 10.4Mbps lastrcv:572 pacing_rate 12.4Mbps delivery_rate 9.9Mbps delivered:447 busy:572ms unacked:28 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:474944 minrtt:20.688
1619607333.843517, 	 reno wscale:8,9 rto:236 rtt:32.064/1.061 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:28 ssthresh:17 bytes_sent:760200 bytes_retrans:56472 bytes_acked:663185 segs_out:527 segs_in:254 data_segs_out:525 send 10.1Mbps lastrcv:588 pacing_rate 12.1Mbps delivery_rate 9.3Mbps delivered:459 busy:588ms unacked:28 retrans:0/39 rcv_space:14480 rcv_ssthresh:42242 notsent:457568 minrtt:20.688
