time	qlen
1619575819.376432	76.0
1619575819.391038	76.0
1619575819.404957	77.0
1619575819.419588	76.0
1619575819.43343	77.0
1619575819.447503	76.0
1619575819.460481	77.0
1619575819.475653	76.0
1619575819.489859	78.0
1619575819.502958	77.0
1619575819.516767	78.0
1619575819.529873	78.0
1619575819.543078	77.0
1619575819.556756	77.0
1619575819.570251	78.0
1619575819.584387	77.0
1619575819.598711	78.0
1619575819.612258	77.0
1619575819.626343	79.0
1619575819.639848	77.0
1619575819.653873	78.0
1619575819.668356	77.0
1619575819.682094	77.0
1619575819.695438	77.0
1619575819.70899	76.0
1619575819.722318	76.0
1619575819.736287	77.0
1619575819.749785	78.0
1619575819.763825	77.0
1619575819.777338	78.0
1619575819.790966	78.0
1619575819.804775	78.0
1619575819.818154	77.0
1619575819.831883	78.0
1619575819.846424	79.0
1619575819.860335	79.0
1619575819.874239	78.0
1619575819.888228	79.0
1619575819.902153	78.0
1619575819.915694	79.0
1619575819.929737	78.0
1619575819.94328	79.0
1619575819.956369	79.0
1619575819.969832	79.0
1619575819.982483	77.0
1619575819.996066	78.0
1619575820.00911	78.0
1619575820.023439	77.0
1619575820.036742	77.0
1619575820.050091	76.0
1619575820.063648	77.0
1619575820.076774	77.0
1619575820.090374	78.0
1619575820.103675	79.0
1619575820.11716	79.0
1619575820.130664	78.0
1619575820.144047	79.0
1619575820.157269	78.0
1619575820.171168	80.0
1619575820.184548	79.0
1619575820.199344	78.0
1619575820.213974	79.0
1619575820.227746	80.0
1619575820.241704	78.0
1619575820.255319	79.0
1619575820.269047	79.0
1619575820.282652	77.0
1619575820.296618	78.0
1619575820.311178	79.0
1619575820.324367	79.0
1619575820.33865	79.0
1619575820.352886	78.0
1619575820.367448	79.0
1619575820.380472	78.0
1619575820.394545	79.0
1619575820.408048	78.0
1619575820.421821	79.0
1619575820.43506	80.0
1619575820.44825	79.0
1619575820.461389	80.0
1619575820.474834	79.0
1619575820.488359	81.0
1619575820.502313	81.0
1619575820.51633	80.0
1619575820.530536	80.0
1619575820.544372	80.0
1619575820.558131	80.0
1619575820.571998	80.0
1619575820.586119	78.0
1619575820.600498	80.0
1619575820.613589	79.0
1619575820.627618	79.0
1619575820.641333	79.0
1619575820.655429	80.0
1619575820.668495	80.0
1619575820.682526	79.0
1619575820.696054	79.0
1619575820.709534	81.0
1619575820.723103	81.0
1619575820.736168	80.0
1619575820.749373	81.0
1619575820.762978	81.0
1619575820.776906	80.0
1619575820.789775	80.0
1619575820.803815	80.0
1619575820.817431	81.0
1619575820.830718	81.0
1619575820.844701	81.0
1619575820.858674	81.0
1619575820.873047	81.0
1619575820.886511	82.0
1619575820.900083	80.0
1619575820.915477	79.0
1619575820.929471	80.0
1619575820.944464	80.0
1619575820.959529	80.0
1619575820.973585	80.0
1619575820.988527	79.0
1619575821.002338	79.0
1619575821.016759	81.0
1619575821.030989	81.0
1619575821.045127	82.0
1619575821.058678	82.0
1619575821.07207	81.0
1619575821.085675	81.0
1619575821.099398	82.0
1619575821.113208	81.0
1619575821.127132	81.0
1619575821.140134	82.0
1619575821.153908	81.0
1619575821.166987	81.0
1619575821.180417	81.0
1619575821.194476	81.0
1619575821.207634	80.0
1619575821.220991	80.0
1619575821.234582	81.0
1619575821.248148	81.0
1619575821.261517	82.0
1619575821.275668	81.0
1619575821.290086	80.0
1619575821.30426	82.0
1619575821.317744	82.0
1619575821.330876	82.0
1619575821.344902	83.0
1619575821.359394	83.0
1619575821.373631	82.0
1619575821.387766	82.0
1619575821.401597	81.0
1619575821.415258	83.0
1619575821.42835	82.0
1619575821.442009	82.0
1619575821.455812	82.0
1619575821.469904	82.0
1619575821.484414	83.0
1619575821.499073	82.0
1619575821.513198	82.0
1619575821.527222	82.0
1619575821.540727	81.0
1619575821.553905	80.0
1619575821.56737	82.0
1619575821.580359	82.0
1619575821.593323	82.0
1619575821.606414	82.0
1619575821.620746	82.0
1619575821.634416	82.0
1619575821.647883	84.0
1619575821.661846	83.0
1619575821.676117	83.0
1619575821.689646	83.0
1619575821.704387	83.0
1619575821.717623	83.0
1619575821.731743	83.0
1619575821.745179	83.0
1619575821.759529	84.0
1619575821.773555	83.0
1619575821.787907	83.0
1619575821.8025	83.0
1619575821.816956	84.0
1619575821.831446	83.0
1619575821.845174	81.0
1619575821.859968	82.0
1619575821.873817	83.0
1619575821.888525	83.0
1619575821.903047	83.0
1619575821.917047	83.0
1619575821.931563	82.0
1619575821.94502	82.0
1619575821.96036	84.0
1619575821.974514	84.0
1619575821.988453	84.0
1619575822.002716	83.0
1619575822.016346	83.0
1619575822.030639	84.0
1619575822.044813	84.0
1619575822.058941	83.0
1619575822.073213	83.0
1619575822.08765	83.0
1619575822.102542	83.0
1619575822.116367	85.0
1619575822.130524	84.0
1619575822.144676	84.0
1619575822.157983	83.0
1619575822.172453	84.0
1619575822.18662	83.0
1619575822.200578	83.0
1619575822.214119	82.0
1619575822.22858	83.0
1619575822.24272	83.0
1619575822.257212	83.0
1619575822.271152	83.0
1619575822.284623	85.0
1619575822.298854	84.0
1619575822.312732	86.0
1619575822.327551	84.0
1619575822.342049	85.0
1619575822.355223	84.0
1619575822.368978	84.0
1619575822.38239	84.0
1619575822.396125	84.0
1619575822.409695	84.0
1619575822.422773	83.0
1619575822.436715	85.0
1619575822.450804	85.0
1619575822.465159	85.0
1619575822.479523	83.0
1619575822.49359	85.0
1619575822.50832	84.0
1619575822.522848	84.0
1619575822.537055	85.0
1619575822.550901	84.0
1619575822.564064	84.0
1619575822.577529	84.0
1619575822.591566	85.0
1619575822.605159	85.0
1619575822.619585	86.0
1619575822.633647	85.0
1619575822.648033	84.0
1619575822.662909	85.0
1619575822.677052	85.0
1619575822.690628	85.0
1619575822.704653	84.0
1619575822.718318	84.0
1619575822.73286	85.0
1619575822.746863	85.0
1619575822.761629	85.0
1619575822.77578	85.0
1619575822.790489	85.0
1619575822.80495	85.0
1619575822.818218	85.0
1619575822.831923	85.0
1619575822.845971	85.0
1619575822.859425	85.0
1619575822.873585	84.0
1619575822.887194	84.0
1619575822.900817	84.0
1619575822.913947	85.0
1619575822.927552	85.0
1619575822.941051	85.0
1619575822.955059	86.0
1619575822.968604	86.0
1619575822.982922	86.0
1619575822.997032	86.0
1619575823.010147	87.0
1619575823.024253	87.0
1619575823.037693	86.0
1619575823.051092	86.0
1619575823.066095	86.0
1619575823.079213	85.0
1619575823.093172	87.0
1619575823.106639	85.0
1619575823.120158	85.0
1619575823.134602	85.0
1619575823.149183	85.0
1619575823.163884	86.0
1619575823.177878	86.0
1619575823.191327	85.0
1619575823.205276	85.0
1619575823.220246	86.0
1619575823.234537	86.0
1619575823.24752	86.0
1619575823.261235	87.0
1619575823.275382	86.0
1619575823.289498	86.0
1619575823.303821	86.0
1619575823.31857	86.0
1619575823.332882	87.0
1619575823.346984	86.0
1619575823.360498	87.0
1619575823.374603	86.0
1619575823.388567	87.0
1619575823.402616	87.0
1619575823.415625	87.0
1619575823.429968	88.0
1619575823.443833	86.0
1619575823.458895	86.0
1619575823.47193	87.0
1619575823.484916	86.0
1619575823.498821	86.0
1619575823.512333	87.0
1619575823.526452	87.0
1619575823.54041	86.0
1619575823.554595	88.0
1619575823.569394	87.0
1619575823.583953	88.0
1619575823.597385	87.0
1619575823.610635	87.0
1619575823.624098	88.0
1619575823.638099	87.0
1619575823.651153	88.0
1619575823.664038	87.0
1619575823.677339	88.0
1619575823.690566	87.0
1619575823.704296	88.0
1619575823.718338	87.0
1619575823.732263	88.0
1619575823.745876	88.0
1619575823.761536	87.0
1619575823.775247	86.0
1619575823.788692	87.0
1619575823.802476	86.0
1619575823.816502	87.0
1619575823.830497	87.0
1619575823.84456	88.0
1619575823.858819	88.0
1619575823.872539	87.0
1619575823.88606	88.0
1619575823.899653	89.0
1619575823.913174	89.0
1619575823.927691	89.0
1619575823.941766	88.0
1619575823.955312	89.0
1619575823.968938	88.0
1619575823.982973	89.0
1619575823.99627	88.0
1619575824.009059	88.0
1619575824.02187	89.0
1619575824.035333	88.0
1619575824.048587	88.0
1619575824.062168	89.0
1619575824.075659	90.0
1619575824.088645	88.0
1619575824.102204	88.0
1619575824.116164	88.0
1619575824.130087	87.0
1619575824.144048	88.0
1619575824.157509	87.0
1619575824.170404	86.0
1619575824.18322	87.0
1619575824.19609	87.0
1619575824.209601	89.0
1619575824.223617	88.0
1619575824.237576	89.0
1619575824.251109	89.0
1619575824.265169	90.0
1619575824.278228	90.0
1619575824.292422	89.0
1619575824.306413	90.0
1619575824.320424	90.0
1619575824.333727	89.0
1619575824.34722	89.0
1619575824.360538	89.0
1619575824.373625	90.0
1619575824.387426	89.0
1619575824.400625	89.0
1619575824.414554	88.0
1619575824.428291	89.0
1619575824.442012	88.0
1619575824.455933	88.0
1619575824.46995	87.0
1619575824.483562	88.0
1619575824.49695	88.0
1619575824.511002	89.0
1619575824.524559	87.0
1619575824.538004	89.0
1619575824.5516	89.0
1619575824.564655	89.0
1619575824.57918	90.0
1619575824.59342	90.0
1619575824.607512	90.0
1619575824.621119	89.0
1619575824.634196	89.0
1619575824.648705	90.0
1619575824.662593	90.0
1619575824.676053	90.0
1619575824.689531	89.0
1619575824.703074	89.0
1619575824.715853	90.0
1619575824.729245	91.0
1619575824.742781	91.0
1619575824.756829	90.0
1619575824.771933	90.0
1619575824.785345	90.0
1619575824.798681	89.0
1619575824.812362	90.0
1619575824.82596	90.0
1619575824.839699	89.0
1619575824.852741	89.0
1619575824.866429	90.0
1619575824.879568	90.0
1619575824.893495	90.0
1619575824.906902	91.0
1619575824.920327	90.0
1619575824.933824	90.0
1619575824.946853	91.0
1619575824.95976	90.0
1619575824.973095	91.0
1619575824.987156	90.0
1619575825.000469	90.0
